8.949755 6.200128 1.458047 -0.722694 -0.647471 0.985028 
7.578047 9.452962 7.657692 -0.909225 0.734649 -0.364702 
3.231852 5.231407 4.018625 0.405896 -0.476713 -0.940907 
4.315314 6.316486 1.132870 0.972580 -0.107651 -0.280395 
9.588530 8.885778 4.466667 -0.794197 -0.538562 -0.182193 
9.048734 4.358186 9.819896 0.422189 -0.577635 0.582569 
8.530053 7.992769 9.416232 -0.224495 -0.924436 0.264995 
3.593839 2.549050 1.002797 0.404618 0.456916 -0.587644 
1.853596 0.557574 4.654801 -0.588280 -0.217135 0.559358 
0.166572 2.022164 1.173515 0.229137 0.364644 0.214316 
4.168617 8.650992 9.994076 0.469899 0.476476 -0.522659 
0.406726 9.621741 1.562570 0.664046 -0.676702 0.432886 
7.596915 1.755666 2.807546 -0.034029 -0.781842 0.875760 
4.961303 6.476348 6.380262 -0.312845 -0.765120 0.116279 
2.477918 0.051812 0.876004 -0.662628 -0.076091 0.246924 
9.817857 3.052637 4.226677 0.061329 0.505419 0.939215 
9.095147 0.814251 0.240745 -0.022617 -0.493074 -0.595628 
3.296924 9.613296 2.668487 -0.933307 0.150290 0.888444 
6.557336 2.433327 8.340616 -0.410574 -0.441306 -0.108579 
8.442358 2.038433 1.972520 -0.446201 -0.423743 0.289385 
3.438244 3.117373 4.065049 0.662475 0.220036 0.553007 
8.475820 2.508724 4.605981 0.790719 -0.592455 0.639667 
3.053471 1.743566 0.216623 0.155927 0.310856 0.150509 
4.943852 0.388302 4.523714 -0.743635 -0.962352 -0.918739 
4.698204 0.934102 0.970324 0.104270 0.305466 -0.543698 
6.820881 8.877256 4.777275 0.104171 0.297407 0.882158 
7.428610 0.466861 3.263550 0.427979 0.244588 0.261263 
0.191572 4.977689 6.899195 -0.142103 0.649947 0.101278 
0.448847 3.666471 7.201170 0.615683 -0.545390 0.181023 
6.706460 9.196818 6.314576 -0.535215 -0.472705 0.015563 
5.153463 6.189947 1.875641 0.714960 0.274914 0.040377 
